codigo;lote;descripcion;almacen;stock_actual;fecha_inicio
550025731;BLA-CUA-050PBL22;SHELL HEAT TRANSFER S2 1x209L;000001;48;2022-03-11
45312905;BLA-CUA-046PBL22;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;621;2022-03-05
550025692;BLA-CIR-106PBL22;SHELL REFRIGERATION OIL S2 FR-A 68 1x20L;000001;1476;2020-01-01
550025692;BLA-CIR-106PBL22;SHELL REFRIGERATION OIL S2 FR-A 68 1x20L;000004;31;2020-01-01
550057742;AZU-TRI-298PBL22;SHELL HELIX ULTRA 5W-40 6x1L;000001;1406;2022-06-28
550045885;AZU-TRI-297PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;0;2022-06-29
6560500055;AZU-TRI-252PBL22;SHELL TURBO T OIL 68 1x55GAL;000001;39;2022-06-14
550043380;AZU-CUA-260PBL21;SHELL TURBO S4 GX 32 1x55GAL;000001;50;2021-07-13
550052775;AZU-CUA-259PBL21;SHELL ALEXIA 70 1x55GAL;000001;35;2021-07-13
550036183;AZU-CUA-247PBL21;SHELL MYSELLA S3 N 40 1x55GAL;000001;12;2021-07-02
550036571;AZU-CUA-247PBL21;SHELL MYSELLA S2 Z 40 1x55GAL;000001;12;2021-07-02
550052774;AZU-CUA-247PBL21;SHELL ALEXIA 40 1x55GAL;000001;10;2021-07-02
550054547;AZU-CUA-247PBL21;SHELL ARGINA S2 40 1x55GAL;000001;24;2021-07-02
550054547;AZU-CUA-247PBL21;SHELL ARGINA S2 40 1x55GAL;000001;24;2021-07-02
550054547;AZU-CUA-247PBL21;SHELL ARGINA S2 40 1x55GAL;000001;2;2021-07-02
550036571;AZU-CUA-00000599;SHELL MYSELLA S2 Z 40 1x55GAL;000001;19;2020-12-16
550036571;AZU-CUA-00000599;SHELL MYSELLA S2 Z 40 1x55GAL;000001;48;2020-12-16
550036571;AZU-CUA-00000599;SHELL MYSELLA S2 Z 40 1x55GAL;000004;5;2020-12-16
45312905;AZU-CIR173PBL22;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;1760;2022-04-29
550045415;AMA-TRI-058PBL23;SHELL TELLUS S2 MX 68 1x5GAL;000001;184;2023-03-08
550045436;AMA-TRI-058PBL23;SHELL RIMULA R4 X 15W-40 3x4L;000001;8;2023-03-08
550049814;AMA-TRI-058PBL23;SHELL SPIRAX S3 ATF MD3 6x1L;000001;700;2023-03-08
550053426;AMA-TRI-058PBL23;SHELL HELIX HX5 20W-50 SN 1x209L;000001;24;2023-03-08
550056833;AMA-TRI-058PBL23;SHELL SPIRAX S5 CVT X 12x1L;000001;109;2023-03-08
550026902;AMA-TRI-052PBL23;SHELL SPIRAX S4 TXM 1x55GAL;000001;74;2023-03-01
550045901;AMA-TRI-052PBL23;SHELL HELIX HX5 15W-40 SN 6x1L;000001;3325;2023-03-01
550045901;AMA-TRI-052PBL23;SHELL HELIX HX5 15W-40 SN 6x1L;000001;3325;2023-03-01
550052774;AMA-CUA-441PBL21;SHELL ALEXIA 40 1x55GAL;000001;12;2021-10-06
550054547;AMA-CUA-441PBL21;SHELL ARGINA S2 40 1x55GAL;000001;48;2021-10-06
550022488;AMA-CUA-395PBL21;SHELL MELINA S 30 1x55GAL;000001;3;2021-11-12
550047079;AMA-CUA-395PBL21;SHELL ARGINA S4 40 1x55GAL;000001;19;2021-11-12
550054547;AMA-CUA-358PBL21;SHELL ARGINA S2 40 1x55GAL;000001;48;2021-10-07
45312905;AMA-CUA-144PBL22;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;1756;2022-04-22
550047075;AMA-CUA-129PBL22;SHELL GADINIA S3 40 1x55GAL;000001;96;2022-04-22
43592855;AMA-CUA-125PBL22;SHELL SPIRAX S2 A 90 1x20L;000001;422;2022-04-27
